Problema;Algoritmo;bhv;hv;gd;igd;igdp;bspread;spread
ZDT3;MyNSGAII;0.5171918715;0.5157592721;0.0000618493;0.0000472778;0.0010038967;0.0000000000;0.7989851061
ZDT3;NSGAII;0.5171918715;0.5065248016;0.0002764228;0.0001858557;0.0050552284;0.0000000000;0.7924577050
ZDT3;MyNSGAII;0.5171918715;0.5157368321;0.0000661946;0.0000467138;0.0009577525;0.0000000000;0.7998170132
ZDT3;NSGAII;0.5171918715;0.5077967117;0.0002425562;0.0001732559;0.0047084016;0.0000000000;0.8124956228
ZDT3;MyNSGAII;0.5171918715;0.5157792409;0.0000662798;0.0000493938;0.0010374334;0.0000000000;0.8052383173
ZDT3;NSGAII;0.5171918715;0.5061126161;0.0002626260;0.0001943854;0.0052971205;0.0000000000;0.8140985325
ZDT3;MyNSGAII;0.5171918715;0.5157058057;0.0000632173;0.0000467901;0.0010257758;0.0000000000;0.7907007038
ZDT3;NSGAII;0.5171918715;0.5043930618;0.0005336213;0.0002174784;0.0059063434;0.0000000000;0.8588479889
ZDT3;MyNSGAII;0.5171918715;0.5157611600;0.0000629817;0.0000465715;0.0009809918;0.0000000000;0.7825972591
ZDT3;NSGAII;0.5171918715;0.5084138577;0.0002398733;0.0001616593;0.0044118093;0.0000000000;0.7939853651
ZDT3;MyNSGAII;0.5171918715;0.5158885513;0.0000644511;0.0000502713;0.0010237020;0.0000000000;0.7978070053
ZDT3;NSGAII;0.5171918715;0.5078966055;0.0002200777;0.0001665604;0.0044302357;0.0000000000;0.8125478650
ZDT3;MyNSGAII;0.5171918715;0.5157377721;0.0000603642;0.0000452026;0.0009514432;0.0000000000;0.7908290110
ZDT3;NSGAII;0.5171918715;0.5074805126;0.0002563572;0.0001719585;0.0047046514;0.0000000000;0.7804445618
ZDT3;MyNSGAII;0.5171918715;0.5156949832;0.0000636499;0.0000478628;0.0009925890;0.0000000000;0.7983931499
ZDT3;NSGAII;0.5171918715;0.5069271393;0.0002655073;0.0001911530;0.0051886509;0.0000000000;0.7833887078
ZDT3;MyNSGAII;0.5171918715;0.5158631950;0.0000593754;0.0000461753;0.0009502842;0.0000000000;0.8072292613
ZDT3;NSGAII;0.5171918715;0.5101605395;0.0002039386;0.0001367829;0.0038392887;0.0000000000;0.7895457893
ZDT3;MyNSGAII;0.5171918715;0.5159712985;0.0000600240;0.0000451081;0.0008907144;0.0000000000;0.7969981284
ZDT3;NSGAII;0.5171918715;0.5084294703;0.0002263697;0.0001553117;0.0042531234;0.0000000000;0.7904419326
ZDT4;MyNSGAII;0.6661736173;0.5864405787;0.0061755209;0.0015751511;0.0470300354;0.0000000000;0.7932035216
ZDT4;NSGAII;0.6661736173;0.0000000000;0.1006285980;0.0276523905;0.8727776011;0.0000000000;0.9673479482
ZDT4;MyNSGAII;0.6661736173;0.6097087643;0.0052201607;0.0012370102;0.0326448926;0.0000000000;0.8029219626
ZDT4;NSGAII;0.6661736173;0.1034673197;0.1003919648;0.0162843632;0.5116859658;0.0000000000;0.9319603828
ZDT4;MyNSGAII;0.6661736173;0.5994370681;0.0002150907;0.0031864495;0.0423712924;0.0000000000;0.8746714767
